OSD.flyTime [s],HOME.distance [ft],OSD.height [ft],OSD.longitude,OSD.latitude,OSD.altitude [ft]
876.1,18988.6,914.0,74.7510772761801,26.429452727334,3158
876.3,18979.0,914.0,74.7510490120752,26.4294600604824,3158
876.5,18969.4,914.0,74.7510207381734,26.4294673936309,3158
876.7,18959.5,914.0,74.7509916217367,26.4294748945382,3158
876.9,18949.8,914.0,74.7509631861857,26.4294822649664,3158
877.1,18940.2,914.0,74.7509347408378,26.4294897165329,3158
877.3,18930.7,914.0,74.7509068686096,26.4294969751219,3158
877.5,18920.9,914.0,74.7508782371203,26.4295044497141,3158
877.7,18911.2,914.0,74.7508496007325,26.4295119582967,3158
877.9,18901.5,914.0,74.7508209692433,26.4295194526253,3158
878.1,18891.5,914.0,74.7507916078836,26.4295271169057,3158
878.3,18882.0,913.7,74.7507637013662,26.429534395231,3158
878.5,18872.2,913.7,74.7507349474154,26.4295417875885,3158
878.7,18862.5,913.7,74.7507061101909,26.4295489409169,3158
878.9,18852.5,913.7,74.7506765284007,26.4295562345926,3158
879.1,18842.7,913.7,74.7506477156684,26.4295632541525,3158
879.3,18833.2,913.7,74.750619564228,26.4295700357797,3158
879.5,18823.2,913.7,74.750589845281,26.4295771869152,3158
879.7,18813.7,913.7,74.7505616105668,26.4295839970505,3158
879.9,18803.9,913.7,74.7505326606777,26.4295910374432,3158
880.1,18794.1,913.7,74.7505038675393,26.429598104151,3158
880.3,18784.2,913.7,74.7504743592259,26.4296053758974,3158
880.5,18774.7,913.3,74.7504462812624,26.4296117671837,3157
880.7,18764.9,913.3,74.7504167386599,26.4296171584951,3157
880.9,18755.7,913.3,74.7503886753918,26.4296219116647,3157
881.1,18746.3,913.3,74.7503598381672,26.4296263293165,3157
881.3,18736.8,913.3,74.7503308343951,26.4296304936852,3157
881.5,18727.3,913.3,74.7503016542784,26.4296346317387,3157
881.7,18717.8,913.7,74.7502724496695,26.4296388607988,3158
881.9,18708.2,913.7,74.7502430442238,26.4296431819617,3158
882.1,18698.5,913.7,74.7502136387781,26.4296476171569,3158
882.3,18689.0,913.7,74.7501843998799,26.4296521225258,3158
882.5,18679.1,913.7,74.7501544702992,26.4296568230652,3158
882.7,18669.8,913.7,74.7501260396467,26.429661330627,3158
882.9,18660.2,913.3,74.7500968350377,26.4296659785361,3157
883.1,18650.4,913.7,74.7500668564724,26.4296707810466,3158
883.3,18641.1,913.7,74.7500383670384,26.4296753785184,3158
883.5,18631.4,913.7,74.7500091330387,26.4296801415562,3158
883.7,18621.8,913.7,74.7499797569837,26.4296849243303,3158
883.9,18612.1,913.7,74.7499503172488,26.4296897389019,3158
884.1,18602.4,913.7,74.7499208677169,26.4296945819816,3158
884.3,18592.5,913.7,74.7498906981117,26.4296995248394,3158
884.5,18582.9,914.0,74.7498612828691,26.4297043032277,3158
884.7,18573.5,914.0,74.749832621989,26.4297090092494,3158
884.9,18563.8,914.0,74.7498032116448,26.4297138786441,3158
885.1,18554.1,914.0,74.7497738013007,26.4297187425566,3158
885.3,18544.2,914.0,74.7497436610862,26.4297236941861,3158
885.5,18534.8,914.0,74.7497148679478,26.4297283519634,3158
885.7,18525.0,914.0,74.7496852567668,26.4297331182906,3158
885.9,18515.3,914.0,74.7496556308904,26.4297378352769,3158
886.1,18505.7,914.0,74.7496261519678,26.429742561035,3158
886.3,18496.0,914.0,74.7495967122329,26.4297473185905,3158
886.5,18486.3,914.0,74.7495671304427,26.4297520805318,3158
886.7,18476.3,914.0,74.7495367648991,26.4297569554089,3158
886.9,18466.9,914.0,74.7495079227761,26.4297615759064,3158
887.1,18456.9,914.0,74.7494775866233,26.42976645188,3158
887.3,18447.4,914.0,74.7494487591957,26.4297710745704,3158
887.5,18437.5,914.0,74.7494184818243,26.429775948351,3158
887.9,18418.2,914.0,74.7493597052221,26.4297854217964,3158
888.1,18408.8,914.0,74.7493308973883,26.4297900620303,3158
888.3,18399.1,914.0,74.7493012960042,26.4297947877883,3158
888.5,18389.3,914.0,74.7492716799248,26.4297995036782,3158
888.7,18379.6,914.0,74.7492419756731,26.42980419106,3158
888.9,18369.6,914.0,74.7492116052311,26.4298090308502,3158
889.1,18360.2,914.0,74.7491827337173,26.4298136403831,3158
889.3,18350.5,914.0,74.7491531274348,26.4298183354402,3158
889.5,18340.8,914.0,74.7491235211523,26.4298230568124,3158
889.7,18331.1,914.0,74.7490939687528,26.4298277803775,3158
889.9,18321.1,914.0,74.7490636277016,26.4298326552546,3158
890.1,18311.4,914.0,74.7490340508098,26.4298374500898,3158
890.3,18301.9,914.0,74.7490052478745,26.4298421078671,3158
890.5,18292.2,914.0,74.7489756807796,26.4298468577474,3158
890.7,18282.3,914.0,74.7489453495252,26.4298517271421,3158
890.9,18272.6,914.0,74.748915767735,26.4298564638648,3158
891.1,18263.1,914.0,74.7488869158151,26.4298610876517,3158
891.3,18253.4,914.0,74.7488572654465,26.4298658199886,3158
891.5,18243.6,914.0,74.7488274632256,26.4298705863157,3158
891.7,18233.6,914.0,74.7487969850175,26.4298754666751,3158
891.9,18223.9,914.0,74.7487673199535,26.4298802055907,3158
892.1,18214.4,914.0,74.7487384582366,26.4298848074484,3158
892.3,18204.7,914.0,74.7487088421572,26.4298895343029,3158
892.5,18195.0,914.0,74.7486791770932,26.4298940199354,3158
892.7,18185.5,913.7,74.7486493993646,26.4298971393743,3158
892.9,18175.9,914.0,74.748619151384,26.429899045028,3158
893.1,18166.8,914.0,74.7485905149963,26.429900866254,3158
893.3,18157.5,914.0,74.7485610703629,26.4299027236633,3158
